"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PF3D7_1148000",371.346233003541,0.661968315083254,0.21691396086616,0.00103583643924749,0.00593839641876104
"PF3D7_1148700",17.0185871581854,-0.261547776813113,0.448392220725338,0.391640569021736,0.584455486541917
"PF3D7_1148800",8.45285932866629,-0.250381922618321,0.530494314862455,0.381308603165067,0.573002837301687
"PF3D7_1148900",5.35776045743463,-0.69138534333364,0.971464084449709,0.0506885794799416,0.141507442164944
"PF3D7_1149000",5991.03083497027,1.2025450721144,0.202664437931798,5.62858813344227e-10,1.08186699820699e-08
"PF3D7_1149100",1012.30583132569,1.4368838592387,0.233310946993485,1.05512620854122e-10,2.18927651387276e-09
"PF3D7_1149200",4799.17748954549,-2.26227264969438,0.200430324355892,1.18879212034588e-30,1.28156959234678e-28
"PF3D7_1149300",6.9592183207583,-0.55253395886543,0.760036308659382,0.0922654068863728,0.219205213719377
"PF3D7_1149400",84.0824030648904,0.0349020075093397,0.284144718733083,0.8899131406667,0.945579821075481
"PF3D7_1149500",0.915943444552405,-0.131285230798158,0.600691965855799,0.214041619872193,NA
"PF3D7_1149600",247.553454038129,-3.27932362876099,0.271408961609655,8.57018832533403e-35,1.37095367436553e-32
"PF3D7_1149700",0,NA,NA,NA,NA
"PF3D7_1149800",0,NA,NA,NA,NA
"PF3D7_1149900",1.2241706150891,-0.0492692403373417,0.56973939003549,0.71221732067243,NA
"PF3D7_1150000",0.307156171552307,-0.0551674005415451,0.584849611943939,0.625563445460074,NA
"PF3D7_1150100",0,NA,NA,NA,NA
"PF3D7_1150200",0,NA,NA,NA,NA
"PF3D7_1150300",0.430067323224166,-0.0581407535963601,0.585559764324273,0.55151468854461,NA
