gene,SRR16966869,SRR16966870,SRR16966871,SRR16966872,SRR16966873,SRR16966874
PF3D7_1350800,5.141,4.008,3.847,2.898,6.038,3.069
PF3D7_1350900,17.694,19.72,13.6,5.51,5.147,7.573
PF3D7_1351000,416.243,386.368,338.216,255.727,241.664,322.914
PF3D7_1351100,45.32,43.544,41.113,112.462,98.253,146.877
PF3D7_1351200,130.865,108.302,112.272,201.115,239.665,339.166
PF3D7_1351300,1.006,0.0,1.001,0.0,0.0,0.0
PF3D7_1351400,250.235,398.761,318.263,776.819,650.414,931.62
PF3D7_1351600,19.022,19.519,23.271,6.803,3.9,17.615
PF3D7_1351700,4883.552,5992.648,4726.371,1270.91,1330.294,1445.797
PF3D7_1351800,59.032000000000004,46.333,49.814,5.017,7.952,27.852
PF3D7_1351900,95.768,149.4,122.613,123.796,165.864,211.624
PF3D7_1352000,83.572,142.417,84.217,108.904,158.051,180.126
PF3D7_1352100,186.142,435.482,144.943,144.39,129.711,188.491
PF3D7_1352200,59.653,132.591,39.609,74.749,56.245,69.262
PF3D7_1352300,17.1,22.886,7.617,30.256,34.047,28.827
PF3D7_1352400,85.237,191.874,192.874,114.188,139.417,166.133
PF3D7_1352500,943.96,1376.155,1116.385,1197.634,1307.398,1713.679
PF3D7_1352600,0.0,1.919,0.0,2.001,0.0,0.0
PF3D7_1352700,118.575,273.521,164.83,139.49,236.69,268.993
PF3D7_1352800,67.046,102.705,46.229,69.627,140.404,112.117
PF3D7_1352900,18.977,26.092,8.411,7.08,6.2,4.104
PF3D7_1353000,2101.857,2517.053,2132.918,1785.247,2484.525,1955.896
PF3D7_1353100,25.879,42.273,25.943,17.128,7.693,13.911
PF3D7_1353200,10.921,7.451,12.578,3.09,1.01,11.231
PF3D7_1353300,676.49,645.876,462.575,681.663,873.206,993.65
PF3D7_1353400,138.091,126.399,87.812,181.828,155.106,222.808
PF3D7_1353500,16.764,18.917,4.729,29.676,23.301,31.57
PF3D7_1353600,171.442,165.293,165.786,125.113,170.179,226.646
PF3D7_1353700,13.973,18.701,2.21,19.547,23.575,12.676
PF3D7_1353800,266.274,210.226,153.917,276.108,413.011,241.353
PF3D7_1353900,390.626,363.002,307.366,404.695,582.421,639.84
PF3D7_1354000,11.466,9.389,3.109,2.148,6.982,7.601
PF3D7_1354100,14.908,18.987,5.741,4.009,3.081,11.259
PF3D7_1354200,494.243,489.177,399.402,242.683,373.89,359.31
PF3D7_1354300,181.674,185.986,188.251,219.144,223.459,329.499
PF3D7_1354400,185.696,146.73,174.444,78.35,189.339,101.313
PF3D7_1354500,143.516,195.32,171.031,207.727,366.721,336.209
PF3D7_1354600,1.153,4.187,1.0,1.0,13.02,4.944
PF3D7_1354700,3.037,2.001,0.0,0.0,3.006,3.436
PF3D7_1354800,27.375,24.977,8.959,12.662,22.537,38.406
PF3D7_1354900,101.174,97.443,83.573,66.325,113.706,130.509
PF3D7_1355100,1526.675,1562.203,1785.721,2149.795,1914.908,2119.855
PF3D7_1355200,0.0,6.379,10.316,0.0,1.0,1.012
PF3D7_1355300,14.997,23.513,41.511,17.45,18.553,8.307
PF3D7_1355500,160.582,126.84,146.703,274.307,279.361,333.859
PF3D7_1355600,18.316,7.095,18.631,10.118,6.053,12.784
PF3D7_1355700,796.853,850.785,902.106,904.436,1198.627,1130.358
PF3D7_1355800,25.923,37.28,31.558,30.537,37.995,41.493
PF3D7_1355900,53.003,54.256,114.652,205.835,148.047,181.635
PF3D7_1356000,15.752,16.519,17.225,43.389,51.746,18.351
PF3D7_1356100,1180.714,1437.502,1030.494,1012.311,1224.333,1212.215
PF3D7_1356200,36.257,81.413,63.998,49.026,87.639,92.365
PF3D7_1356300,717.885,906.906,661.145,475.85,450.763,457.565
PF3D7_1356400,66.805,60.397,51.411,53.219,104.01,126.475
PF3D7_1356500,3.117,0.0,0.0,0.0,0.0,2.011
PF3D7_1356600,61.271,86.743,87.326,33.359,41.649,51.814
PF3D7_1356700,54.143,30.351,18.651,15.413,10.646,16.674
PF3D7_1356800,4699.436,6416.334,4912.342,1503.451,2317.699,2326.941
PF3D7_1356900,77.436,48.036,70.492,241.958,173.85,214.44
PF3D7_1357000,1998.299,2263.098,2742.383,5175.625,5539.349,6201.179
PF3D7_1357100,1681.628,2177.817,1537.849,4929.115,4463.537,5468.707
PF3D7_1357200,43.884,66.958,29.527,76.483,112.685,110.885
PF3D7_1357300,0.0,0.0,0.0,1.018,0.0,0.0
PF3D7_1357400,126.79,209.823,102.866,69.622,94.706,170.095
PF3D7_1357500,258.416,419.811,233.355,242.916,337.502,422.758
PF3D7_1357600,1.011,13.47,6.901,9.685,7.361,11.459
